2,2,,,Montgomery,Alabama,36134
2,2,,,Montgomery,Alabama,36134
3,441,,,,316-510-9138,2
3,174,trothchild3o@pinterest.com,,785-790-7373,467-631-6632,5
2,287,,,Rochester,New York,14646
2,287,,,Rochester,New York,14646
2,999,,,Rochester,New York,14646
1,168,Rozelle,Heda,Farnill
2,204,2 Warner Junction,,Akron,Ohio,44305
2,204,2 Warner Junction,,Akron,Ohio,44305
1,213,,Buiron,Franzelini
3,317,,,440-717-3397,116-241-0481,2
3,338,,,868-503-6167,753-834-3938,2
2,194,538 Lakeland Point,,,,
2,194,538 Lakeland Point,,,,
2,24,924 Ohio Road,,Oklahoma City,Oklahoma,73147
2,24,924 Ohio Road,,Oklahoma City,Oklahoma,73147
1,315,Way,Desirae,Messier
2,278,383 Schmedeman Place,,Nashville,Tennessee,37250
2,278,383 Schmedeman Place,,Nashville,Tennessee,37250
1,156,Harris,Sidnee,Tyt
2,472,564 Acker Street,,Columbus,Ohio,43215
2,472,564 Acker Street,,Columbus,Ohio,43215
3,229,,,,531-606-0159,
1,268,Germaine,,
2,316,84 Schlimgen Park,,Houston,Texas,77020
2,316,84 Schlimgen Park,,Houston,Texas,77020
2,201,81817 Oxford Drive,,Houston,Texas,77250
2,201,81817 Oxford Drive,,Houston,Texas,77250
3,402,lgrigsby7k@rediff.com,442-823-7304,665-459-8227,717-970-6053,1
2,437,,,Jacksonville,Florida,32255
2,437,,,Jacksonville,Florida,32255
1,215,Janetta,,
2,126,9533 Pawling Way,,Oklahoma City,Oklahoma,73124
2,126,9533 Pawling Way,,Oklahoma City,Oklahoma,73124
1,248,Veda,,
2,186,,,Everett,Washington,98206
2,186,,,Everett,Washington,98206
2,184,24 5th Plaza,,Spartanburg,South Carolina,29305
2,184,24 5th Plaza,,Spartanburg,South Carolina,29305
1,262,Carmelia,Dione,Vassbender
3,127,,,,169-709-5142,4
3,421,,,,437-482-0058,3
3,426,,,769-263-9785,819-694-6232,
2,77,2 Ridgeway Crossing,,Lubbock,Texas,79405
